Id,Label,timeset,componentnumber,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Authority,Hub,modularity_class,clustering,triangles,eigencentrality
10112,,,1,4,8,24,0.069026,0.075929,0,0,0.37037,0,0,0,37,1,6,0.024517
2189,,,1,4,10,21,0.086777,0.097891,71592,0.015841,0.233333,0.003696,0,0,0,0.333333,2,0.022757
7129,,,1,2,4,22,0.079899,0.088042,0,0,0.857143,0,0,0,0,1,1,0.006929
786,,,1,6,16,28,0.072021,0.080537,2002,0.000443,0.137931,0.000061,0,0,4,0.733333,11,0.031169
787,,,1,4,8,29,0.067188,0.073712,0,0,0.333333,0,0,0,4,1,6,0.02041
788,,,1,6,16,28,0.072021,0.080537,2002,0.000443,0.137931,0.000061,0,0,4,0.733333,11,0.031169
789,,,1,6,16,28,0.072021,0.080537,2002,0.000443,0.137931,0.000061,0,0,4,0.733333,11,0.031169
790,,,1,4,8,29,0.067188,0.073712,0,0,0.333333,0,0,0,4,1,6,0.02041
2493,,,1,4,8,28,0.072017,0.080204,0,0,0.4,0,0,0,4,1,6,0.024384
2494,,,1,8,16,27,0.077594,0.088738,18006,0.003984,0.085644,0.000341,0,0,4,0.428571,12,0.050761
811,,,1,4,8,30,0.062753,0.072919,0,0,0.447761,0,0,0,22,1,6,0.034842
812,,,1,4,8,30,0.062753,0.072919,0,0,0.447761,0,0,0,22,1,6,0.034842
813,,,1,8,16,30,0.062758,0.073584,12012,0.002658,0.074257,0.000197,0,0,22,0.428571,12,0.047772
3635,,,1,3,6,30,0.063713,0.074445,0,0,1.176471,0,0,0,22,1,3,0.032666
9292,,,1,4,8,30,0.062745,0.072587,0,0,0.3,0,0,0,22,1,6,0.024516
9293,,,1,4,8,30,0.062745,0.072587,0,0,0.3,0,0,0,22,1,6,0.024516
9294,,,1,4,8,30,0.062745,0.072587,0,0,0.3,0,0,0,22,1,6,0.024516
9295,,,1,4,8,30,0.062745,0.072587,0,0,0.3,0,0,0,22,1,6,0.024516
12396,,,1,4,8,31,0.059057,0.066985,0,0,0.285714,0,0,0,22,1,6,0.018872
12397,,,1,4,8,31,0.059057,0.066985,0,0,0.285714,0,0,0,22,1,6,0.018872
12398,,,1,4,8,31,0.059057,0.066985,0,0,0.285714,0,0,0,22,1,6,0.018872
12399,,,1,4,8,31,0.059057,0.066985,0,0,0.285714,0,0,0,22,1,6,0.018872
6866,,,1,3,6,30,0.063708,0.074224,0,0,0.625,0,0,0,22,1,3,0.025161
6867,,,1,3,6,30,0.063708,0.074224,0,0,0.625,0,0,0,22,1,3,0.025161
830,,,1,2,4,20,0.092714,0.105328,0,0,2.571429,0,0.000001,0.000001,43,1,1,0.019915
831,,,1,9,18,19,0.10187,0.11924,316336.011541,0.069993,0.032103,0.002247,0.00001,0.00001,43,0.138889,5,0.054326
1668,,,1,9,20,18,0.102289,0.117754,81052.077589,0.017934,0.061802,0.001108,0.000037,0.000037,43,0.388889,14,0.07104
1669,,,1,2,4,19,0.096558,0.109161,0,0,2.25,0,0.000004,0.000004,43,1,1,0.018196
5185,,,1,2,4,20,0.098739,0.112657,0,0,2.368421,0,0.000003,0.000003,43,1,1,0.018132
5186,,,1,10,22,19,0.107616,0.126577,273909.329833,0.060606,0.047502,0.002879,0.00002,0.00002,42,0.288889,13,0.067964
7080,,,1,6,12,18,0.102275,0.117199,77087.15299,0.017056,0.159903,0.002727,0.00003,0.00003,43,0.533333,8,0.05737
9706,,,1,1,2,20,0.092455,0.103692,0,0,9,0,0.000001,0.000001,43,0,0,0.008257
10518,,,1,2,4,19,0.096545,0.108967,0,0,1.8,0,0.000004,0.000004,43,1,1,0.016229
4437,,,1,13,26,21,0.085278,0.098483,32996,0.007301,0.022954,0.000168,0,0,16,0.205128,16,0.070746
6361,,,1,7,16,21,0.085416,0.098547,89533,0.01981,0.142691,0.002827,0,0,16,0.571429,12,0.065759
9568,,,1,3,6,21,0.085071,0.095404,0,0,0.444444,0,0,0,16,1,3,0.018604
9569,,,1,3,6,21,0.085071,0.095404,0,0,0.444444,0,0,0,16,1,3,0.018604
9570,,,1,3,6,21,0.085071,0.095404,0,0,0.444444,0,0,0,16,1,3,0.018604
12153,,,1,4,8,21,0.085252,0.096876,0,0,0.583957,0,0,0,16,1,6,0.041634
1703,,,1,11,22,21,0.120261,0.142446,225338.99547,0.049859,0.022832,0.001138,0.000394,0.000394,24,0.163636,9,0.076929
6306,,,1,2,4,22,0.107381,0.121573,0,0,1.466667,0,0.000042,0.000042,24,1,1,0.014866
858,,,1,7,16,22,0.082806,0.093535,1982.833333,0.000439,0.106742,0.000047,0,0,13,0.619048,13,0.056201
859,,,1,7,16,22,0.082806,0.093535,1982.833333,0.000439,0.106742,0.000047,0,0,13,0.619048,13,0.056201
860,,,1,4,8,22,0.082799,0.093036,0,0,0.42492,0,0,0,13,1,6,0.040043
861,,,1,4,8,22,0.082799,0.093036,0,0,0.42492,0,0,0,13,1,6,0.040043
862,,,1,19,40,21,0.090257,0.10582,84627.416667,0.018725,0.011131,0.000208,0.000001,0.000001,13,0.187135,32,0.136942
11354,,,1,4,8,23,0.076535,0.084839,0,0,0.368421,0,0,0,13,1,6,0.029637
11355,,,1,7,14,22,0.082865,0.094427,2069.666667,0.000458,0.115361,0.000053,0,0,13,0.52381,11,0.065272
11356,,,1,4,8,23,0.076535,0.084839,0,0,0.368421,0,0,0,13,1,6,0.029637
1158,,,1,4,8,22,0.082794,0.092925,0,0,0.311475,0,0,0,13,1,6,0.033748
1159,,,1,4,8,22,0.082794,0.092925,0,0,0.311475,0,0,0,13,1,6,0.033748
1160,,,1,4,8,22,0.082794,0.092925,0,0,0.311475,0,0,0,13,1,6,0.033748
1161,,,1,4,8,22,0.082794,0.092925,0,0,0.311475,0,0,0,13,1,6,0.033748
4537,,,1,1,2,22,0.082787,0.092426,0,0,19,0,0,0,13,0,0,0.018264
5008,,,1,12,30,21,0.090241,0.104712,66809.25,0.014782,0.035783,0.000529,0.000001,0.000001,13,0.318182,21,0.096226
5009,,,1,5,10,20,0.098888,0.113835,162360,0.035924,0.206335,0.007412,0.000003,0.000003,13,0.6,6,0.047525
5010,,,1,4,8,21,0.090138,0.102267,0,0,0.426647,0,0,0,13,1,6,0.044117
5011,,,1,4,8,21,0.090138,0.102267,0,0,0.426647,0,0,0,13,1,6,0.044117
5535,,,1,5,14,22,0.082874,0.094344,6.75,0.000001,0.322946,0,0,0,13,0.9,9,0.061968
5536,,,1,15,32,22,0.08294,0.096877,77691.5,0.01719,0.023119,0.000397,0,0,13,0.2,21,0.116651
5537,,,1,6,16,22,0.082876,0.09451,3012.75,0.000667,0.100849,0.000067,0,0,13,0.6,9,0.063583
9641,,,1,4,8,22,0.082812,0.093285,0,0,0.497382,0,0,0,13,1,6,0.047907
13217,,,1,3,6,22,0.082856,0.093762,0,0,1.271511,0,0,0,13,1,3,0.042898
863,,,1,10,26,23,0.101939,0.119932,31397.305691,0.006947,0.047086,0.000327,0.000034,0.000034,14,0.266667,12,0.088362
864,,,1,11,26,22,0.109553,0.128876,100816.22656,0.022307,0.044398,0.00099,0.000081,0.000081,14,0.290909,16,0.093506
865,,,1,3,10,23,0.100227,0.114859,0,0,1.24456,0,0.000012,0.000012,14,1,3,0.036491
866,,,1,13,28,23,0.100317,0.117298,78230.363357,0.017309,0.021471,0.000372,0.000014,0.000014,14,0.205128,16,0.084901
2798,,,1,14,32,22,0.111123,0.13148,79717.344592,0.017638,0.027128,0.000478,0.000104,0.000104,14,0.274725,25,0.116154
3299,,,1,2,4,24,0.092523,0.104334,0,0,1.666667,0,0.000004,0.000004,14,1,1,0.015855
3300,,,1,5,10,24,0.092532,0.104833,9014,0.001994,0.076923,0.000153,0.000004,0.000004,14,0.2,2,0.020399
3824,,,1,2,4,24,0.092589,0.105071,0,0,2.826087,0,0.000005,0.000005,14,1,1,0.024014
3976,,,1,7,16,22,0.111062,0.129983,65142.008877,0.014413,0.147174,0.002121,0.00008,0.00008,14,0.571429,12,0.077042
9727,,,1,12,30,23,0.101856,0.119472,56832,0.012575,0.038803,0.000488,0.000026,0.000026,14,0.272727,18,0.094361
12547,,,1,8,16,23,0.104059,0.12213,100454.145282,0.022227,0.098223,0.002183,0.000027,0.000027,14,0.428571,12,0.070843
1101,,,1,4,8,23,0.098762,0.1117,0,0,0.349206,0,0.000011,0.000011,14,1,6,0.028748
1102,,,1,4,8,23,0.098762,0.1117,0,0,0.349206,0,0.000011,0.000011,14,1,6,0.028748
1103,,,1,4,8,23,0.098762,0.1117,0,0,0.349206,0,0.000011,0.000011,14,1,6,0.028748
1104,,,1,8,16,23,0.098775,0.112365,12012,0.002658,0.067901,0.00018,0.000011,0.000011,14,0.428571,12,0.041431
2799,,,1,4,8,22,0.109381,0.126337,0,0,0.496774,0,0.000072,0.000072,14,1,6,0.049212
2800,,,1,4,8,22,0.109381,0.126337,0,0,0.496774,0,0.000072,0.000072,14,1,6,0.049212
2801,,,1,11,24,21,0.12086,0.144229,254234.096695,0.056252,0.04755,0.002675,0.0005,0.0005,14,0.327273,18,0.122561
