Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,componentnumber,modularity_class,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,clustering,triangles,eigencentrality
7435,,,4,8,1,1,1,0,0,0,1148,0,0,0.25,0,1,6,0.012906
7439,,,1,2,1,1,1,0,0,0,1149,0,0,1,0,0,0,0.00128
7440,,,1,2,1,1,1,0,0,0,1149,0,0,1,0,0,0,0.00128
7447,,,1,2,2,0.6,0.666667,0,0,0,1150,0,0,3,0,0,0,0.00211
7448,,,3,6,1,1,1,2,0,0,1150,0,0,0.166667,0,0.333333,1,0.004997
10104,,,2,4,2,0.75,0.833333,0,0,0,1150,0,0,0.6,0,1,1,0.003912
10105,,,2,4,2,0.75,0.833333,0,0,0,1150,0,0,0.6,0,1,1,0.003912
7449,,,3,6,2,0.8,0.875,0,0,0,1151,0,0,0.4,0,1,3,0.008306
7450,,,4,10,1,1,1,1,0,0,1151,0,0,0.176471,0,0.666667,4,0.009955
7451,,,3,6,2,0.8,0.875,0,0,0,1151,0,0,0.4,0,1,3,0.008306
7452,,,4,10,1,1,1,1,0,0,1151,0,0,0.176471,0,0.666667,4,0.009955
8125,,,2,4,2,0.666667,0.75,0,0,0,1151,0,0,1,0,1,1,0.005789
7453,,,4,8,1,1,1,0,0,0,1152,0,0,0.25,0,1,6,0.012906
7454,,,4,8,1,1,1,0,0,0,1152,0,0,0.25,0,1,6,0.012906
7455,,,4,8,1,1,1,0,0,0,1152,0,0,0.25,0,1,6,0.012906
7456,,,4,8,1,1,1,0,0,0,1152,0,0,0.25,0,1,6,0.012906
7457,,,4,8,1,1,1,0,0,0,1152,0,0,0.25,0,1,6,0.012906
7458,,,4,8,1,1,1,0,0,0,1153,0,0,0.25,0,1,6,0.012906
7459,,,4,8,1,1,1,0,0,0,1153,0,0,0.25,0,1,6,0.012906
7460,,,4,8,1,1,1,0,0,0,1153,0,0,0.25,0,1,6,0.012906
7461,,,4,8,1,1,1,0,0,0,1153,0,0,0.25,0,1,6,0.012906
7462,,,4,8,1,1,1,0,0,0,1153,0,0,0.25,0,1,6,0.012906
7463,,,1,2,1,1,1,0,0,0,1154,0,0,1,0,0,0,0.00128
7464,,,1,2,1,1,1,0,0,0,1154,0,0,1,0,0,0,0.00128
7467,,,4,8,1,1,1,0,0,0,1155,0,0,0.25,0,1,6,0.012906
7468,,,4,8,1,1,1,0,0,0,1155,0,0,0.25,0,1,6,0.012906
7469,,,4,8,1,1,1,0,0,0,1155,0,0,0.25,0,1,6,0.012906
7470,,,4,8,1,1,1,0,0,0,1155,0,0,0.25,0,1,6,0.012906
7471,,,4,8,1,1,1,0,0,0,1155,0,0,0.25,0,1,6,0.012906
