Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Authority,Hub,modularity_class,componentnumber,clustering,triangles,eigencentrality
0,,,4,8,2,0.75,0.833333,0,0,0.333333,0,0,0,0,0,1,6,0.089632
1,,,6,16,1,1,1,1.333333,0.000001,0.125,0,0,0,0,0,0.733333,11,0.119756
2,,,6,16,1,1,1,1.333333,0.000001,0.125,0,0,0,0,0,0.733333,11,0.119756
3,,,4,8,2,0.75,0.833333,0,0,0.333333,0,0,0,0,0,1,6,0.089632
4,,,6,16,1,1,1,1.333333,0.000001,0.125,0,0,0,0,0,0.733333,11,0.119756
1738,,,4,8,2,0.75,0.833333,0,0,0.333333,0,0,0,0,0,1,6,0.089632
1739,,,4,8,2,0.75,0.833333,0,0,0.333333,0,0,0,0,0,1,6,0.089632
5,,,4,8,1,1,1,0,0,0.25,0,0,0,1,1,1,6,0.048842
6,,,4,8,1,1,1,0,0,0.25,0,0,0,1,1,1,6,0.048842
7,,,4,8,1,1,1,0,0,0.25,0,0,0,1,1,1,6,0.048842
8,,,4,8,1,1,1,0,0,0.25,0,0,0,1,1,1,6,0.048842
9,,,4,8,1,1,1,0,0,0.25,0,0,0,1,1,1,6,0.048842
10,,,4,8,2,0.75,0.833333,0,0,0.272727,0,0,0,2,2,1,6,0.056846
11,,,4,8,2,0.75,0.833333,0,0,0.272727,0,0,0,2,2,1,6,0.056846
12,,,4,8,2,0.75,0.833333,0,0,0.272727,0,0,0,2,2,1,6,0.056846
13,,,4,8,2,0.75,0.833333,0,0,0.272727,0,0,0,2,2,1,6,0.056846
14,,,6,12,1,1,1,8,0.000004,0.083333,0,0,0,2,2,0.466667,7,0.067002
96,,,2,4,2,0.6,0.666667,0,0,0.75,0,0,0,2,2,1,1,0.022817
97,,,2,4,2,0.6,0.666667,0,0,0.75,0,0,0,2,2,1,1,0.022817
15,,,2,4,1,1,1,0,0,0.5,0,0,0,3,3,1,1,0.008035
16,,,2,4,1,1,1,0,0,0.5,0,0,0,3,3,1,1,0.008035
17,,,2,4,1,1,1,0,0,0.5,0,0,0,3,3,1,1,0.008035
18,,,3,6,1,1,1,0,0,0.333333,0,0,0,4,4,1,3,0.021135
19,,,3,6,1,1,1,0,0,0.333333,0,0,0,4,4,1,3,0.021135
20,,,3,6,1,1,1,0,0,0.333333,0,0,0,4,4,1,3,0.021135
21,,,3,6,1,1,1,0,0,0.333333,0,0,0,4,4,1,3,0.021135
22,,,1,2,1,1,1,0,0,1,0,0,0,5,5,0,0,0.002262
23,,,1,2,1,1,1,0,0,1,0,0,0,5,5,0,0,0.002262
24,,,3,6,1,1,1,0,0,0.333333,0,0,0,6,6,1,3,0.021135
25,,,3,6,1,1,1,0,0,0.333333,0,0,0,6,6,1,3,0.021135
26,,,3,6,1,1,1,0,0,0.333333,0,0,0,6,6,1,3,0.021135
27,,,3,6,1,1,1,0,0,0.333333,0,0,0,6,6,1,3,0.021135
28,,,7,14,2,0.818182,0.888889,0,0,0.147541,0,0,0,7,7,1,21,0.442878
29,,,7,14,2,0.818182,0.888889,0,0,0.147541,0,0,0,7,7,1,21,0.442878
30,,,7,14,2,0.818182,0.888889,0,0,0.147541,0,0,0,7,7,1,21,0.442878
31,,,7,14,2,0.818182,0.888889,0,0,0.147541,0,0,0,7,7,1,21,0.442878
606,,,7,14,2,0.818182,0.888889,0,0,0.147541,0,0,0,7,7,1,21,0.442878
607,,,7,14,2,0.818182,0.888889,0,0,0.147541,0,0,0,7,7,1,21,0.442878
608,,,7,14,2,0.818182,0.888889,0,0,0.147541,0,0,0,7,7,1,21,0.442878
609,,,9,18,1,1,1,14,0.000007,0.055556,0,0,0,7,7,0.611111,22,0.464894
32,,,4,8,1,1,1,0,0,0.25,0,0,0,8,8,1,6,0.048842
33,,,4,8,1,1,1,0,0,0.25,0,0,0,8,8,1,6,0.048842
34,,,4,8,1,1,1,0,0,0.25,0,0,0,8,8,1,6,0.048842
35,,,4,8,1,1,1,0,0,0.25,0,0,0,8,8,1,6,0.048842
